config,split,backend,language,n_samples,n_errors,wer_pct,cer_pct,avg_latency_sec,avg_rtf
azure_gpt4o_transcribe_fi,2016-dev-seen,azure_gpt4o,fi,100,0,14.38,8.63,1.165,0.143
azure_gpt4o_transcribe_auto,2016-dev-seen,azure_gpt4o,auto,100,0,18.92,13.18,0.992,0.1248
azure_gpt4o_transcribe_fi,2016-dev-unseen,azure_gpt4o,fi,100,0,14.48,8.05,0.899,0.1073
azure_gpt4o_transcribe_auto,2016-dev-unseen,azure_gpt4o,auto,100,0,15.78,9.43,0.873,0.1024
azure_gpt4o_transcribe_fi,2016-test-seen,azure_gpt4o,fi,100,0,11.17,6.64,0.921,0.1236
azure_gpt4o_transcribe_auto,2016-test-seen,azure_gpt4o,auto,100,0,12.37,7.78,0.928,0.127
azure_gpt4o_transcribe_fi,2016-test-unseen,azure_gpt4o,fi,100,0,6.96,3.51,0.977,0.1193
azure_gpt4o_transcribe_auto,2016-test-unseen,azure_gpt4o,auto,100,0,9.64,5.91,0.946,0.119
azure_gpt4o_transcribe_fi,2020-test,azure_gpt4o,fi,100,0,9.12,4.84,0.833,0.1428
azure_gpt4o_transcribe_auto,2020-test,azure_gpt4o,auto,100,0,10.51,5.46,1.087,0.1887
